Number,JP Name,ENG Name
1,鏡音リン,Kagamine Rin
2,アシンメトリーR,Asymmetry R
3,リアクター,Reactor
4,EoEスタイル,RoF Style
5,鏡音リン キュート,Kagamine Rin Cute
6,チアフルキャンディ,Cheerful Candy
7,ブラックスター,Black Star
8,ネームレス No.1,Nameless No.1
9,鏡音リン 蘇芳,Kagamine Rin Raspberry
10,鏡音リン 蘇芳 妖孤,Kagamine Rin Raspberry Fox
11,陽炎,Heat Haze
12,レーシングリン2010ver.,Racing Rin 2010ver.
13,メランコリー,Melancholy
14,トランスミッター,Transmitter
15,鏡音リン 桜月,Sakura Moon
16,鏡音リン 雨,Ame
17,鏡音リン 浴衣スタイル,Kagamine Rin Yukata Style
18,鏡音リン 浴衣スタイル AS,Kagamine Rin Yukata Style AS
19,魔術師のタマゴ,Apprentice Magician
20,スタイリッシュエナジーR,Stylish Energy R
21,トラッドスクール,Trad School
22,夢見るパンダ,Dreaming Panda
23,フェイカー,Faker
24,ヒマワリ,Sunflower
25,ヒマワリ AS,Sunflower AS
26,ソレイユ,Soleil
27,フェアリーワンピース,Fairy Dress
28,鏡音リン妄想ガール,Kagamine Rin Mousou Girl
29,CA鏡音リン,Cabin Attendant Kagamine Rin
30,Cheerful リン,Cheerful Rin
31,マジックシェフ,Magic Chef
32,鏡音リン スイムウェア,Kagamine Rin Swimwear
33,鏡音リン スイムウェアT,Kagamine Rin Swimwear T
34,鏡音リン しましまビキニ,Kagamine Rin Striped Bikini
35,鏡音リン SW スクール,Kagamine Rin School Swimwear
36,ミラクルスターリゾート,Miracle Star Resort
37,鏡音リン スクールウェア,Kagamine Rin School Outfit
38,シザーズ,Scissors
39,弐ノ桜・胡蝶,Ni-No-Sakura Butterfly
40,鏡音リン Future Style,Kagamine Rin Future Style
41,鏡音リン クリスマス,Kagamine Rin Christmas
42,鏡音リン アペンド,Kagamine Rin Append
43,Poppin' Delight,Poppin' Delight
44,アドレサンスプリンセス,Adolescence Princess
45,鏡音リン スイムウェア/ST,Kagamine Rin Swimwear Tan
46,アルパーカー R,Alparka Hoodie R
47,Phantom Thief リン,Phantom Thief Rin
48,天袖,Tensode
49,鉄道員・金糸雀,Train Conductor Golden Sparrow
50,パジャマパーティ リン,Pajama Party Rin